userId,collabType,currentTask,bPart,distance,timeElapsed
12,FaceToFaceNoIntersect,0,rightHandP2,0.3393475,0.3205719
12,FaceToFaceNoIntersect,0,leftHandP2,0.6841632,18.23135
12,FaceToFaceNoIntersect,0,leftHandP2,0.6530545,1.308273
12,FaceToFaceNoIntersect,0,rightHandP2,0.4732947,0.807251
12,FaceToFaceNoIntersect,0,leftHandP2,0.6753162,12.2663
11,FaceToFaceNoIntersect,1,rightHandP1,0.427949,1.87915
11,FaceToFaceNoIntersect,1,rightHandP1,0.428969,1.781784
11,FaceToFaceNoIntersect,1,rightHandP1,0.5281364,0.5288849
12,FaceToFaceNoIntersect,1,leftHandP2,0.6691425,22.28484
12,FaceToFaceNoIntersect,2,rightHandP2,0.3249563,0.1808929
12,FaceToFaceNoIntersect,2,leftHandP2,0.682572,19.82204
12,FaceToFaceNoIntersect,2,rightHandP2,0.3195033,0.7516174
12,FaceToFaceNoIntersect,2,rightHandP2,0.30558,0.1675415
12,FaceToFaceNoIntersect,2,leftHandP2,0.6921633,74.90024
12,FaceToFaceNoIntersect,2,leftHandP2,0.5796961,0.2922058
12,FaceToFaceNoIntersect,2,rightHandP2,0.455689,0.3623962
12,FaceToFaceNoIntersect,2,HeadP2,0.4331186,1.420258
12,FaceToFaceNoIntersect,2,leftHandP2,0.5944883,0.2927246
11,FaceToFaceNoIntersect,2,rightHandP1,0.4379698,0.2221375
12,FaceToFaceNoIntersect,2,leftHandP2,0.6592767,21.5795
11,FaceToFaceNoIntersect,3,rightHandP1,0.3754914,1.68457
11,FaceToFaceNoIntersect,3,rightHandP1,0.3603174,1.350098
11,FaceToFaceNoIntersect,3,rightHandP1,0.3977,1.657257
11,FaceToFaceNoIntersect,3,rightHandP1,0.3757991,0.1674805
11,FaceToFaceNoIntersect,3,rightHandP1,0.3538369,0.05581665
11,FaceToFaceNoIntersect,3,rightHandP1,0.3857341,1.698334
11,FaceToFaceNoIntersect,3,rightHandP1,0.4122966,3.175934
11,FaceToFaceNoIntersect,3,rightHandP1,0.3957076,0.150116
11,FaceToFaceNoIntersect,3,rightHandP1,0.4281685,2.157532
11,FaceToFaceNoIntersect,3,rightHandP1,0.405669,0.8482056
11,FaceToFaceNoIntersect,3,rightHandP1,0.3366187,0.8772278
11,FaceToFaceNoIntersect,3,rightHandP1,0.5830357,1.753967
11,FaceToFaceNoIntersect,3,HeadP1,0.382491,0.2228088
11,FaceToFaceNoIntersect,3,rightHandP1,0.3882401,1.671112
11,FaceToFaceNoIntersect,3,rightHandP1,0.4761162,0.1252441
11,FaceToFaceNoIntersect,3,rightHandP1,0.3157473,0.3066101
11,FaceToFaceNoIntersect,3,rightHandP1,0.3120577,0.2363281
12,FaceToFaceNoIntersect,3,leftHandP2,0.6592767,132.6737
