UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
10,SideBySide,P1,0,p11,-0.108,0.511,-0.133,p11_root,-0.1084954,0.5096217,-0.12951,p11_root,-0.0004953668,-0.001378357,0.003489986,0.003784873,True
10,SideBySide,P1,0,p03,0.252,0.511,-0.133,p03_root,0.2398619,0.5125035,-0.1388327,p03_root,-0.0121381,0.001503468,-0.005832687,0.01355043,True
10,SideBySide,P1,0,p21,0.162,0.511,-0.04300001,p21_root,0.1596626,0.5109894,-0.04602766,p21_root,-0.002337396,-1.060963E-05,-0.003027648,0.003824942,True
10,SideBySide,P1,0,p08,0,-100,0,p08_root,0,-100,0,p08_root,0,0,0,0,True
10,SideBySide,P1,0,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
10,SideBySide,P1,0,p10,0,-100,0,p10_root,0,-100,0,p10_root,0,0,0,0,True
10,SideBySide,P1,0,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
10,SideBySide,P1,0,p06,0,-100,0,p06_root,0,-100,0,p06_root,0,0,0,0,True
10,SideBySide,P1,0,p05,0,-100,0,p05_root,0,-100,0,p05_root,0,0,0,0,True
10,SideBySide,P1,0,p04,0,-100,0,p04_root,0,-100,0,p04_root,0,0,0,0,True
10,SideBySide,P1,0,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
10,SideBySide,P1,0,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
10,SideBySide,P2,1,p10,0.6619999,0.511,-0.04300001,p10_root,0.6458068,0.5074427,-0.04266474,p10_root,-0.01619309,-0.003557384,0.0003352761,0.01658263,True
10,SideBySide,P2,1,p07,0.752,0.4261,-0.223,p07_root,0.7687812,0.4450605,-0.2088745,p07_root,0.01678121,0.01896054,0.01412551,0.02899381,True
10,SideBySide,P2,1,p12,0.752,0.601,-0.223,p12_root,0.7440839,0.6004403,-0.2035952,p12_root,-0.007916033,-0.0005596876,0.01940484,0.02096485,True
10,SideBySide,P2,1,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
10,SideBySide,P2,1,p19,0,-100,0,p19_root,0,-100,0,p19_root,0,0,0,0,True
10,SideBySide,P2,1,p14,0,-100,0,p14_root,0,-100,0,p14_root,0,0,0,0,True
10,SideBySide,P2,1,p18,0,-100,0,p18_root,0,-100,0,p18_root,0,0,0,0,True
