UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
1,FacetoFaceIntersect,P1,2,part4,-0.01799999,0.511,-0.133,part4_root(Clone)-0.2694266,0.689008,1.387014,part4_root(Clone),-0.2514266,0.178008,1.520014,1.550917,True
1,FacetoFaceIntersect,P1,2,part5,0.252,0.601,-0.133,part5_root(Clone)1.818763,0.5914236,0.007127374,part5_root(Clone),1.566763,-0.009576321,0.1401274,1.573046,True
1,FacetoFaceIntersect,P1,2,part6,0.072,0.601,-0.133,part6_root(Clone)-1.19059,0.5791762,-1.393555,part6_root(Clone),-1.26259,-0.02182376,-1.260555,1.784267,True
1,FacetoFaceIntersect,P1,2,part7,-0.198,0.511,-0.133,part7_root(Clone)-1.672471,0.5075649,-0.670874,part7_root(Clone),-1.474471,-0.003435135,-0.537874,1.569517,True
1,FacetoFaceIntersect,P1,2,part8,0.072,0.601,-0.133,part8_root(Clone)-0.626974,0.5812988,1.209556,part8_root(Clone),-0.698974,-0.01970112,1.342556,1.51374,True
1,FacetoFaceIntersect,P1,2,part9,-0.198,0.511,-0.133,part9_root(Clone)-1.730272,0.5324162,-1.343462,part9_root(Clone),-1.532272,0.02141619,-1.210462,1.952827,True
1,FacetoFaceIntersect,P1,2,part10,-0.01799999,0.601,-0.04300001,part10_root(Clone)-0.9613514,0.6407405,1.242845,part10_root(Clone),-0.9433514,0.03974056,1.285845,1.595271,True
1,FacetoFaceIntersect,P1,2,part11,-0.108,0.511,-0.04300001,part11_root(Clone)-1.621467,0.7153733,-0.9280355,part11_root(Clone),-1.513467,0.2043732,-0.8850355,1.765117,True
1,FacetoFaceIntersect,P1,2,part12,-0.108,0.691,-0.04300001,part12_root(Clone)-0.991994,0.497246,0.8901973,part12_root(Clone),-0.883994,-0.193754,0.9331973,1.29994,True
1,FacetoFaceIntersect,P2,3,part1,0.01799998,0.511,-0.03100002,part1_root(Clone)1.571438,0.4746934,1.022133,part1_root(Clone),1.553438,-0.03630665,1.053133,1.877119,True
1,FacetoFaceIntersect,P2,3,part2,0.108,0.421,-0.03100002,part2_root(Clone)-1.582053,0.4967422,-0.4902851,part2_root(Clone),-1.690053,0.07574227,-0.4592851,1.752985,True
1,FacetoFaceIntersect,P2,3,part3,-0.252,0.421,-0.03099999,part3_root(Clone)0.4838643,0.6587147,-1.23625,part3_root(Clone),0.7358644,0.2377147,-1.20525,1.432003,True
1,FacetoFaceIntersect,P2,3,part4,-0.162,0.691,-0.03099999,part4_root(Clone)-1.482264,0.4712603,-1.107201,part4_root(Clone),-1.320264,-0.2197397,-1.076201,1.717437,True
1,FacetoFaceIntersect,P2,3,part5,0.198,0.421,-0.03100002,part5_root(Clone)1.39816,0.5879158,1.34302,part5_root(Clone),1.20016,0.1669158,1.37402,1.831987,True
1,FacetoFaceIntersect,P2,3,part6,0.01799996,0.691,-0.121,part6_root(Clone)1.277578,0.7143959,-1.345652,part6_root(Clone),1.259578,0.0233959,-1.224652,1.756945,True
1,FacetoFaceIntersect,P2,3,part7,-0.07200001,0.421,-0.121,part7_root(Clone)-1.288038,0.4803936,-0.5431583,part7_root(Clone),-1.216038,0.05939361,-0.4221583,1.288601,True
1,FacetoFaceIntersect,P2,3,part8,0.01799996,0.691,-0.121,part8_root(Clone)1.501886,0.6542076,0.3433231,part8_root(Clone),1.483886,-0.0367924,0.4643231,1.555271,True
1,FacetoFaceIntersect,P2,3,part9,-0.07200001,0.421,-0.121,part9_root(Clone)1.73807,0.5832433,0.7791779,part9_root(Clone),1.81007,0.1622433,0.900178,2.028053,True
1,FacetoFaceIntersect,P2,3,part10,0.108,0.601,-0.211,part10_root(Clone)0.2288963,0.5102617,-1.458475,part10_root(Clone),0.1208963,-0.0907383,-1.247475,1.2566,True
1,FacetoFaceIntersect,P2,3,part11,0.01799996,0.421,-0.211,part11_root(Clone)-1.634423,0.5310948,-0.1185885,part11_root(Clone),-1.652423,0.1100948,0.09241155,1.658662,True
1,FacetoFaceIntersect,P2,3,part12,0.108,0.691,-0.211,part12_root(Clone)0.7060505,0.6257952,-1.177003,part12_root(Clone),0.5980505,-0.06520474,-0.9660028,1.138015,True
