UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
6,Angled90,P1,0,p06,0.072,0.601,-0.133,p06_root,-0.6332161,0.6259162,-0.7515044,p06_root,-0.7052162,0.02491629,-0.6185044,0.9383488,False
6,Angled90,P1,0,p02,0.162,0.816,-0.223,p02_root,-0.02278286,0.59022,1.544207,p02_root,-0.1847829,-0.22578,1.767207,1.791129,False
6,Angled90,P1,0,p09,0.072,0.511,-0.223,p09_root,0.06684673,0.5896372,1.863187,p09_root,-0.005153269,0.07863712,2.086187,2.087675,False
6,Angled90,P1,0,p13,0,-100,0,p13_root,0,-100,0,p13_root,0,0,0,0,True
6,Angled90,P1,0,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
6,Angled90,P1,0,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
6,Angled90,P1,0,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
6,Angled90,P1,0,p05,0,-100,0,p05_root,0,-100,0,p05_root,0,0,0,0,True
6,Angled90,P1,0,p19,0,-100,0,p19_root,0,-100,0,p19_root,0,0,0,0,True
6,Angled90,P1,0,p22,0,-100,0,p22_root,0,-100,0,p22_root,0,0,0,0,True
6,Angled90,P1,0,p15,0,-100,0,p15_root,0,-100,0,p15_root,0,0,0,0,True
6,Angled90,P1,0,p11,0,-100,0,p11_root,0,-100,0,p11_root,0,0,0,0,True
6,Angled90,P2,1,p06,0.412,0.601,0.339,p06_root,-0.2416632,0.6417288,1.091762,p06_root,-0.6536633,0.04072881,0.7527623,0.9977904,False
6,Angled90,P2,1,p15,0.502,0.816,0.429,p15_root,1.5285,0.6614548,0.5283433,p15_root,1.0265,-0.1545452,0.09934333,1.042811,False
6,Angled90,P2,1,p14,0.502,0.511,0.339,p14_root,1.718406,0.6472484,0.3144259,p14_root,1.216406,0.1362484,-0.02457404,1.22426,False
6,Angled90,P2,1,p08,-1.192093E-07,-100,-2.980232E-08,p08_root,0,-100,0,p08_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p20,-1.192093E-07,-100,-2.980232E-08,p20_root,0,-100,0,p20_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p21,-1.192093E-07,-100,-2.980232E-08,p21_root,0,-100,0,p21_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p09,-1.192093E-07,-100,-2.980232E-08,p09_root,0,-100,0,p09_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p16,-1.192093E-07,-100,-2.980232E-08,p16_root,0,-100,0,p16_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p07,-1.192093E-07,-100,-2.980232E-08,p07_root,0,-100,0,p07_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p26,-1.192093E-07,-100,-2.980232E-08,p26_root,0,-100,0,p26_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p22,-1.192093E-07,-100,-2.980232E-08,p22_root,0,-100,0,p22_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P2,1,p23,-1.192093E-07,-100,-2.980232E-08,p23_root,0,-100,0,p23_root,1.192093E-07,0,2.980232E-08,1.228781E-07,True
6,Angled90,P1,2,p11,-0.108,0.511,-0.133,p11_root,-0.1089414,0.5179103,-0.1334154,p11_root,-0.0009413958,0.006910264,-0.0004154444,0.006986456,True
6,Angled90,P1,2,p15,0.252,0.511,-0.133,p15_root,0.2520151,0.5140253,-0.1361294,p15_root,1.507998E-05,0.003025234,-0.003129423,0.004352649,True
6,Angled90,P1,2,p09,0.162,0.511,-0.04300001,p09_root,0.1621585,0.5151855,-0.04023024,p09_root,0.0001584589,0.004185438,0.002769768,0.005021416,True
6,Angled90,P1,2,p14,0.072,0.691,-0.04300001,p14_root,0.06804731,0.697209,-0.03646505,p14_root,-0.003952689,0.006209016,0.006534964,0.009842834,True
6,Angled90,P1,2,p24,0.162,0.601,-0.223,p24_root,0.1711819,0.6086886,-0.2182126,p24_root,0.009181902,0.007688642,0.004787445,0.01289737,True
6,Angled90,P1,2,p07,0.252,0.601,-0.133,p07_root,0.1778115,0.5646319,1.503644,p07_root,-0.0741885,-0.03636807,1.636644,1.638728,False
6,Angled90,P1,2,p03,0.162,0.601,-0.223,p03_root,1.214899,0.4816737,-1.433636,p03_root,1.052899,-0.1193262,-1.210636,1.608873,False
6,Angled90,P1,2,p04,-0.114,0.421,-0.133,p04_root,-0.1292678,0.4229595,-0.1418141,p04_root,-0.01526774,0.001959562,-0.008814141,0.0177379,True
6,Angled90,P1,2,p02,0.162,0.421,-0.04300001,p02_root,0.159275,0.4081059,-0.03895605,p02_root,-0.00272502,-0.01289406,0.004043967,0.01378537,True
6,Angled90,P1,2,p27,-0.198,0.421,-0.04300001,p27_root,-0.1866334,0.4162903,-0.03999159,p27_root,0.01136661,-0.004709691,0.003008425,0.01266616,True
6,Angled90,P1,2,p25,-0.01800001,0.421,-0.223,p25_root,-0.0115009,0.4459034,-0.2318413,p25_root,0.006499104,0.02490342,-0.008841321,0.02721374,True
6,Angled90,P1,2,p17,0.06377929,0.5811377,-0.06219646,p17_root,0.06534866,0.5871654,-0.06726792,p17_root,0.001569368,0.006027699,-0.005071461,0.008032172,True
6,Angled90,P2,3,p17,0.502,0.511,0.159,p17_root,-0.3562604,0.5694181,1.577834,p17_root,-0.8582604,0.05841804,1.418834,1.659251,False
6,Angled90,P2,3,p13,0.502,0.691,0.06899998,p13_root,0.476376,0.662002,0.06873232,p13_root,-0.02562404,-0.02899802,-0.0002676547,0.03869816,True
6,Angled90,P2,3,p19,0.412,0.511,0.533,p19_root,0.4160749,0.5076396,0.5216249,p19_root,0.004074931,-0.003360391,-0.01137507,0.01254151,True
6,Angled90,P2,3,p14,0.322,0.421,0.06899995,p14_root,0.3256592,0.4306353,0.07912913,p14_root,0.003659159,0.009635299,0.01012918,0.01445091,True
6,Angled90,P2,3,p02,0.502,0.601,0.159,p02_root,0.4996792,0.6072575,0.1464635,p02_root,-0.002320826,0.006257534,-0.01253647,0.01420232,True
6,Angled90,P2,3,p25,0.322,0.511,0.339,p25_root,0.3329313,0.5062036,0.3344419,p25_root,0.01093128,-0.004796445,-0.004558086,0.01277791,True
6,Angled90,P2,3,p11,0.412,0.421,0.251,p11_root,0.4301848,0.4354484,0.2089932,p11_root,0.01818484,0.0144484,-0.04200685,0.04800021,True
6,Angled90,P2,3,p22,0.412,0.511,0.429,p22_root,0.4038053,0.5057049,0.412197,p22_root,-0.008194715,-0.005295157,-0.01680303,0.01943023,True
6,Angled90,P2,3,p26,0.322,0.601,0.2489999,p26_root,0.3199558,0.5995564,0.2504272,p26_root,-0.002044171,-0.001443505,0.001427293,0.002880887,True
6,Angled90,P2,3,p24,0.502,0.601,0.339,p24_root,0.5035804,0.5970544,0.3580521,p24_root,0.001580358,-0.003945589,0.01905215,0.01952049,True
6,Angled90,P2,3,p21,0.412,0.421,0.159,p21_root,0.4134611,0.3990782,0.1615479,p21_root,0.001461118,-0.02192172,0.00254792,0.02211761,True
6,Angled90,P2,3,p06,0.322,0.691,0.06899995,p06_root,0.3266148,0.6809779,0.08969447,p06_root,0.00461477,-0.01002204,0.02069452,0.0234521,True
