userId,collabType,trialNumber,dominantPlayer,puzzleId,centerPosAreaX,centerPosAreaY,centerPosAreaZ,centerRotAreaX,centerRotAreaY,centerRotAreaZ,FacetoFaceIntersect,boundsSizeX,boundsSizeY,boundsSizeZ,numberOfBoundViolationsP1,timeOutsideBoundsP1,numberOfBoundViolationsP2,timeOutsideBoundsP2,totalTime,isTraining
1,FacetoFaceIntersect,0,P1,36,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,0.5641747,0,0,0.1890297
2,FacetoFaceIntersect,0,P2,37,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,3,0.5775909,0,0,0.1935043
1,FacetoFaceIntersect,0,P1,38,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,0.4143677,0,0,0.1390877
2,FacetoFaceIntersect,0,P2,39,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,3,0.4607506,0,0,0.1545715
1,FacetoFaceIntersect,0,P1,40,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,0.4604568,0,0,0.1544151
2,FacetoFaceIntersect,0,P2,41,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,3,0.5256081,0,0,0.1761436
1,FacetoFaceIntersect,0,P1,42,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,0.5257187,0,0,0.1762199
2,FacetoFaceIntersect,0,P2,43,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,3,0.536808,0,0,0.1798592
1,FacetoFaceIntersect,0,P1,44,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,0.5755768,0,0,0.1928482
2,FacetoFaceIntersect,0,P2,45,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,3,0.5498428,0,0,0.1842232
1,FacetoFaceIntersect,0,P1,46,0,0.471,-0.372,0,0,0,FacetoFaceIntersect,0.6,1,0.8,3,0.4558296,0,0,0.1529388
2,FacetoFaceIntersect,0,P2,47,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,9,0.759407,0,0,0.585495
2,FacetoFaceIntersect,0,P2,47,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,9,0.759407,0,0,0.585495
2,FacetoFaceIntersect,0,P2,47,0,0.471,0.118,0,180,0,FacetoFaceIntersect,0.6,1,0.8,9,0.759407,0,0,0.585495
