userId,collabType,currentTask,bPart,distance,timeElapsed
22,FaceToFaceNoIntersect,0,rightHandP2,0.4561664,1.726364
22,FaceToFaceNoIntersect,0,rightHandP2,0.4246677,5.901932
21,FaceToFaceNoIntersect,1,rightHandP1,0.4597998,1.921265
21,FaceToFaceNoIntersect,1,leftHandP1,0.3285597,0.08351135
21,FaceToFaceNoIntersect,1,rightHandP1,0.4576481,0.7649536
21,FaceToFaceNoIntersect,1,leftHandP1,0.3961134,3.480484
21,FaceToFaceNoIntersect,1,rightHandP1,0.4549793,1.62915
22,FaceToFaceNoIntersect,2,rightHandP2,0.4099369,1.601227
21,FaceToFaceNoIntersect,2,leftHandP1,0.3653243,11.94614
21,FaceToFaceNoIntersect,2,leftHandP1,0.349282,0.7092896
21,FaceToFaceNoIntersect,2,leftHandP1,0.4567123,0.1809082
21,FaceToFaceNoIntersect,2,leftHandP1,0.4151096,0.1253357
22,FaceToFaceNoIntersect,2,rightHandP2,0.4115417,0.611908
21,FaceToFaceNoIntersect,2,leftHandP1,0.3193053,0.05551147
21,FaceToFaceNoIntersect,2,leftHandP1,0.3193045,0.01403809
22,FaceToFaceNoIntersect,2,rightHandP2,0.7347392,1.531464
22,FaceToFaceNoIntersect,2,rightHandP2,0.4786523,1.322327
21,FaceToFaceNoIntersect,2,leftHandP1,0.3556381,0.06951904
22,FaceToFaceNoIntersect,2,rightHandP2,0.4803873,1.446899
22,FaceToFaceNoIntersect,2,rightHandP2,0.3969873,1.309174
21,FaceToFaceNoIntersect,2,leftHandP1,0.3757854,0.6401367
21,FaceToFaceNoIntersect,3,leftHandP1,0.3150024,0.6962585
21,FaceToFaceNoIntersect,3,HeadP1,0.501955,2.143311
21,FaceToFaceNoIntersect,3,rightHandP1,0.5171873,2.380341
21,FaceToFaceNoIntersect,3,rightHandP1,0.4992585,2.505402
21,FaceToFaceNoIntersect,3,leftHandP1,0.3478165,2.436646
21,FaceToFaceNoIntersect,3,rightHandP1,0.4635277,1.058228
21,FaceToFaceNoIntersect,3,HeadP1,0.4787355,1.461395
21,FaceToFaceNoIntersect,3,rightHandP1,0.4972876,4.009308
21,FaceToFaceNoIntersect,3,leftHandP1,0.3738559,4.078674
21,FaceToFaceNoIntersect,3,rightHandP1,0.4692832,1.072632
21,FaceToFaceNoIntersect,3,leftHandP1,0.3535332,1.684845
21,FaceToFaceNoIntersect,3,rightHandP1,0.4792945,1.518188
21,FaceToFaceNoIntersect,3,HeadP1,0.4701972,0.1539612
21,FaceToFaceNoIntersect,3,rightHandP1,0.4460076,3.451965
21,FaceToFaceNoIntersect,3,leftHandP1,0.3649313,2.212982
21,FaceToFaceNoIntersect,3,leftHandP1,0.326866,0.0697937
22,FaceToFaceNoIntersect,3,rightHandP2,0.373864,0.4032898
21,FaceToFaceNoIntersect,3,rightHandP1,0.3875667,9.327576
22,FaceToFaceNoIntersect,3,rightHandP2,0.3969364,0.05587769
