Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
6,FacetoFaceIntersect,True,31.72613,20.68873,0,52.41486,60.52888,39.47112,0
7,FaceToFaceNoIntersect,False,0,0,0,0,NaN,NaN,NaN
8,FaceToFaceNoIntersect,False,1.72522,0,0,1.72522,100,0,0
7,FaceToFaceNoIntersect,True,72.0994,51.51018,0,123.6096,58.32833,41.67167,0
8,FaceToFaceNoIntersect,True,62.94659,17.68192,0,80.62851,78.06989,21.93011,0
7,FacetoFaceIntersect,True,56.20403,25.41095,0,81.61497,68.86485,31.13516,0
8,FacetoFaceIntersect,True,53.28023,32.83101,0,86.11124,61.87372,38.12628,0
7,Angled90,True,69.47185,63.87314,0,133.345,52.09933,47.90067,0
8,Angled90,True,39.14645,16.49385,0,55.6403,70.35629,29.64371,0
7,SideBySide,True,54.9902,121.302,0,176.2922,31.19264,68.80736,0
8,SideBySide,True,43.67307,15.22147,0,58.89453,74.1547,25.8453,0
7,CoupledView,True,29.34733,23.75189,0,53.09922,55.26885,44.73115,0
8,CoupledView,True,34.27908,13.02806,0,47.30714,72.46069,27.53931,0
9,SideBySide,True,43.43973,35.34564,0,78.78537,55.1368,44.8632,0
10,SideBySide,True,37.10992,12.46399,0,49.57391,74.85777,25.14223,0
9,FacetoFaceIntersect,True,33.94992,48.64372,0,82.59364,41.10476,58.89524,0
10,FacetoFaceIntersect,True,58.32613,22.81738,0,81.14351,71.88021,28.11979,0
9,CoupledView,True,23.37799,48.18478,0,71.56277,32.66781,67.33219,0
10,CoupledView,True,43.1109,13.94919,0,57.06009,75.55351,24.44649,0
9,CoupledView,True,0.1871948,0.3794098,0,0.5666046,33.038,66.962,0
10,CoupledView,True,1.438202,0,0,1.438202,100,0,0
9,FaceToFaceNoIntersect,True,22.87691,55.36862,0,78.24553,29.23734,70.76266,0
10,FaceToFaceNoIntersect,True,36.8076,7.129593,0,43.93719,83.77322,16.22678,0
9,Angled90,True,35.28877,14.28276,0,49.57153,71.18758,28.81242,0
10,Angled90,True,16.85487,7.031975,0,23.88685,70.56131,29.43869,0
11,CoupledView,True,127.9572,56.33777,0,184.295,69.43066,30.56935,0
12,CoupledView,True,110.3497,33.85602,0,144.2057,76.52242,23.47759,0
11,Angled90,True,93.76447,121.81,0,215.5745,43.49516,56.50484,0
12,Angled90,True,67.54505,45.91623,0,113.4613,59.53137,40.46863,0
11,SideBySide,True,76.03569,64.40001,0,140.4357,54.14271,45.85729,0
12,SideBySide,TRUE,48.48271,39.31416,0,87.79688,55.22145,44.77855,0
11,FaceToFaceNoIntersect,True,42.1032,24.21872,0,66.32191,63.48308,36.51692,0
12,FaceToFaceNoIntersect,True,37.81531,12.83357,0,50.64888,74.66168,25.33831,0
11,FacetoFaceIntersect,True,59.61314,67.2318,0,126.8449,46.99686,53.00314,0
12,FacetoFaceIntersect,True,58.22514,31.9833,0,90.20844,64.54511,35.45488,0
13,FaceToFaceNoIntersect,True,47.15466,36.22446,0,83.37912,56.55452,43.44548,0
14,FaceToFaceNoIntersect,True,71.15561,91.71692,0,162.8725,43.68791,56.31209,0
13,SideBySide,True,56.75064,68.55232,0,125.303,45.29074,54.70926,0
14,SideBySide,True,38.88737,29.17796,0,68.06534,57.13242,42.86758,0
