User,taskID,role,condition,numberCollisionsDominant,timeCollisionsDominant,distanceDominant,numberCollisionsNotDominant,timeCollisionsNotDominant,distanceNotDominant
6,3,dominant,FacetoFaceIntersect,2,131.7273,1.108005,,,
7,2,dominant,FaceToFaceNoIntersect,9,14.2135,3.915025,,,
7,3,dominant,FaceToFaceNoIntersect,2,3.049134,1.236044,,,
7,2,dominant,SideBySide,4,1.511612,1.55018,,,
7,3,dominant,SideBySide,2,103.0333,1.119438,,,
7,2,dominant,Angled90,3,1.01532,1.303845,,,
7,3,dominant,Angled90,20,358.2214,11.43437,,,
7,2,dominant,FacetoFaceIntersect,1,0.2367554,0.4279545,,,
7,3,dominant,FacetoFaceIntersect,1,161.9802,0.6894937,,,
7,2,dominant,CoupledView,1,0.5601807,0.3911009,,,
7,3,dominant,CoupledView,1,112.0279,1.387928,,,
8,2,dominant,FacetoFaceIntersect,1,240.0112,0.5609844,,,
8,3,dominant,FacetoFaceIntersect,5,196.2118,3.226848,,,
8,2,dominant,SideBySide,5,151.1334,2.299919,,,
8,3,dominant,SideBySide,3,134.6908,1.422355,,,
8,2,dominant,FaceToFaceNoIntersect,2,179.9373,1.118318,,,
8,3,dominant,FaceToFaceNoIntersect,2,143.4498,1.094082,,,
8,2,dominant,CoupledView,1,125.403,0.6176685,,,
8,3,dominant,CoupledView,4,136.9865,1.993811,,,
8,2,dominant,Angled90,2,91.75677,1.00751,,,
8,3,dominant,Angled90,3,174.4113,1.601265,,,
9,2,dominant,CoupledView,1,240.0111,0.7137123,,,
9,3,dominant,CoupledView,1,240.0242,0.7055603,,,
9,2,dominant,SideBySide,1,96.46304,0.7689451,,,
9,3,dominant,SideBySide,1,193.9588,0.6884018,,,
9,2,dominant,Angled90,4,146.0653,2.209274,,,
9,3,dominant,Angled90,2,133.0367,0.9818119,,,
9,2,dominant,FacetoFaceIntersect,3,115.5905,1.520442,,,
9,3,dominant,FacetoFaceIntersect,1,164.7649,0.5804177,,,
9,2,dominant,FaceToFaceNoIntersect,9,86.93993,4.281652,,,
9,3,dominant,FaceToFaceNoIntersect,1,112.2508,0.7138181,,,
10,2,nonDominant,Angled90,8,8.312317,4.705102,,,
10,3,nonDominant,Angled90,33,84.96142,16.32985,,,
10,2,nonDominant,FaceToFaceNoIntersect,21,40.35687,10.40759,,,
10,3,nonDominant,FaceToFaceNoIntersect,29,237.1152,13.62108,,,
10,2,nonDominant,CoupledView,7,15.73279,3.256032,,,
10,3,nonDominant,CoupledView,9,21.186,4.036167,,,
10,2,nonDominant,FacetoFaceIntersect,23,54.07873,10.39905,,,
10,3,nonDominant,FacetoFaceIntersect,41,118.5013,18.82973,,,
10,2,nonDominant,SideBySide,14,61.85321,7.561297,,,
10,3,nonDominant,SideBySide,4,1.558655,1.685802,,,
11,2,nonDominant,FacetoFaceIntersect,23,107.6127,9.414758,,,
11,3,nonDominant,FacetoFaceIntersect,37,280.0927,16.4147,,,
11,2,nonDominant,FaceToFaceNoIntersect,6,7.822999,2.912245,,,
11,3,nonDominant,FaceToFaceNoIntersect,17,40.26151,7.292305,,,
11,2,nonDominant,SideBySide,12,14.38438,6.035156,,,
11,3,nonDominant,SideBySide,13,12.41723,6.413698,,,
11,2,nonDominant,Angled90,25,36.55702,12.9995,,,
11,3,nonDominant,Angled90,28,32.34845,13.93553,,,
11,2,nonDominant,CoupledView,4,6.431885,1.760895,,,
11,3,nonDominant,CoupledView,9,16.16556,3.799351,,,
12,2,nonDominant,SideBySide,8,14.02005,3.386196,,,
12,3,nonDominant,SideBySide,15,12.82153,6.715985,,,
12,2,nonDominant,CoupledView,7,35.53085,3.085323,,,
12,3,nonDominant,CoupledView,12,18.91809,4.450394,,,
12,2,nonDominant,FacetoFaceIntersect,12,19.65799,5.132697,,,
12,3,nonDominant,FacetoFaceIntersect,43,74.94116,16.83577,,,
12,2,nonDominant,Angled90,42,123.7816,21.34619,,,
12,3,nonDominant,Angled90,17,20.86551,8.405751,,,
12,2,nonDominant,FaceToFaceNoIntersect,21,22.2675,9.465667,,,
12,3,nonDominant,FaceToFaceNoIntersect,6,6.374511,2.26964,,,
2,2,nonDominant,SideBySide,11,7.141296,4.857105,,,
2,3,nonDominant,SideBySide,14,250.4828,6.736608,,,
2,2,nonDominant,CoupledView,6,6.613311,2.473311,,,
2,3,nonDominant,CoupledView,2,148.573,1.360245,,,
2,2,nonDominant,FacetoFaceIntersect,18,34.30331,9.55527,,,
2,3,nonDominant,FacetoFaceIntersect,19,187.2579,7.677444,,,
2,2,nonDominant,Angled90,51,88.66913,25.30288,,,
2,3,nonDominant,Angled90,12,201.7542,5.209476,,,
2,2,nonDominant,FaceToFaceNoIntersect,25,30.37791,12.15405,,,
