Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds
13,SideBySide,P2,True,98.02553,77.19774,175.2233,55.94321,44.05679
14,SideBySide,P2,True,32.2157,143.3148,175.5305,18.35333,81.64667
13,Angled90,P2,True,72.83801,108.0195,180.8575,40.27371,59.72629
14,Angled90,P2,True,53.33124,127.6927,181.0239,29.46088,70.53912
13,FacetoFaceIntersect,P2,True,61.43794,91.93112,153.3691,40.05889,59.94111
14,FacetoFaceIntersect,P2,True,46.36063,106.8071,153.1677,30.26789,69.73211
13,CoupledView,P2,True,85.05112,97.2825,182.3336,46.64588,53.35412
14,CoupledView,P2,True,62.81525,119.4205,182.2357,34.46922,65.53078
15,FacetoFaceIntersect,P2,True,115.9988,122.8511,238.8499,48.56556,51.43444
16,FacetoFaceIntersect,P2,True,80.70326,158.171,238.8742,33.78484,66.21516
15,SideBySide,P2,True,64.96066,82.43071,147.3914,44.07359,55.92641
16,SideBySide,P2,True,18.23531,129.7799,148.0152,12.31989,87.68011
15,FaceToFaceNoIntersect,P2,True,128.0817,50.89622,178.978,71.56285,28.43715
16,FaceToFaceNoIntersect,P2,True,42.09911,136.6169,178.716,23.55643,76.44357
15,CoupledView,P2,True,53.55685,71.18257,124.7394,42.93499,57.06501
16,CoupledView,P2,True,51.22919,73.44464,124.6738,41.09057,58.90943
15,Angled90,P2,True,39.87069,50.9713,90.84199,43.89016,56.10984
16,Angled90,P2,True,10.0421,81.09928,91.14138,11.01816,88.98184
17,CoupledView,P2,True,93.62906,144.9266,238.5557,39.24831,60.75169
18,CoupledView,P2,True,85.04056,153.8806,238.9211,35.59357,64.40643
17,SideBySide,P2,True,59.3504,36.27676,95.62717,62.06437,37.93563
18,SideBySide,P2,True,15.95044,80.00351,95.95395,16.62301,83.37698
17,Angled90,P2,True,79.97934,63.198,143.1773,55.86034,44.13966
18,Angled90,P2,True,12.59917,131.3645,143.9636,8.751632,91.24837
17,FacetoFaceIntersect,P2,True,40.63673,73.19743,113.8342,35.69819,64.30181
18,FacetoFaceIntersect,P2,True,40.23705,73.43307,113.6701,35.39808,64.60191
17,FaceToFaceNoIntersect,P2,True,39.88072,43.24617,83.12689,47.97572,52.02428
18,FaceToFaceNoIntersect,P2,True,33.61449,49.62671,83.2412,40.38203,59.61797
