Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
10,SideBySide,True,16.19934,12.46399,20.91058,49.57391,32.67715,25.14223,42.18062,10
9,FacetoFaceIntersect,True,33.37912,48.64372,0.5708008,82.59364,40.41367,58.89524,0.6910953,2
10,FacetoFaceIntersect,True,38.03732,22.81738,20.2888,81.14351,46.87661,28.11979,25.0036,23
9,CoupledView,True,13.60538,48.18478,9.772614,71.56277,19.01181,67.33219,13.656,12
10,CoupledView,True,24.06458,13.94919,19.04633,57.06009,42.1741,24.44649,33.37942,7
9,CoupledView,True,0.1871948,0.3794098,0,0.5666046,33.038,66.962,0,0
10,CoupledView,True,1.438202,0,0,1.438202,100,0,0,0
9,FaceToFaceNoIntersect,True,22.55731,55.36862,0.3195953,78.24553,28.82888,70.76266,0.4084519,3
10,FaceToFaceNoIntersect,True,21.27121,7.129593,15.53639,43.93719,48.41276,16.22678,35.36045,15
9,Angled90,True,12.23669,14.28276,23.05208,49.57153,24.68492,28.81242,46.50266,11
10,Angled90,True,5.549408,7.031975,11.30547,23.88685,23.23206,29.43869,47.32925,11
11,CoupledView,True,83.20856,56.33777,44.74866,184.295,45.14966,30.56935,24.281,28
12,CoupledView,True,48.12128,33.85602,62.22839,144.2057,33.36989,23.47759,43.15252,17
11,Angled90,True,21.00757,121.81,72.7569,215.5745,9.744924,56.50484,33.75024,23
12,Angled90,True,15.5767,45.91623,51.96835,113.4613,13.72865,40.46863,45.80272,24
11,SideBySide,True,40.29126,64.40001,35.74443,140.4357,28.69018,45.85729,25.45252,31
12,SideBySide,TRUE,18.43875,39.31416,30.04396,87.79688,21.0016,44.77855,34.21985,9
11,FaceToFaceNoIntersect,True,38.92628,24.21872,3.17691,66.32191,58.69294,36.51692,4.790137,6
12,FaceToFaceNoIntersect,True,16.76486,12.83357,21.05045,50.64888,33.10016,25.33831,41.56152,11
11,FacetoFaceIntersect,True,54.62832,67.2318,4.984818,126.8449,43.06701,53.00314,3.929851,7
12,FacetoFaceIntersect,True,23.12759,31.9833,35.09755,90.20844,25.63795,35.45488,38.90717,21
13,FaceToFaceNoIntersect,True,46.55554,36.22446,0.5991211,83.37912,55.83597,43.44548,0.7185505,2
14,FaceToFaceNoIntersect,True,41.32071,91.71692,29.8349,162.8725,25.36997,56.31209,18.31795,19
13,SideBySide,True,46.72862,68.55232,10.02202,125.303,37.29251,54.70926,7.99823,13
14,SideBySide,True,10.54282,29.17796,28.34456,68.06534,15.48926,42.86758,41.64316,14
13,Angled90,True,39.99203,42.91583,4.761749,87.66962,45.61676,48.95177,5.43147,5
14,Angled90,True,31.64148,29.98129,31.01535,92.63812,34.156,32.36388,33.48011,20
13,FacetoFaceIntersect,True,17.16226,58.12166,23.34659,98.63051,17.40056,58.92868,23.67076,7
14,FacetoFaceIntersect,True,26.25795,27.70135,34.14183,88.10114,29.80433,31.44268,38.753,15
13,CoupledView,True,49.09032,55.28818,45.65242,150.0309,32.72013,36.85119,30.42867,16
14,CoupledView,True,27.11853,49.38322,36.23189,112.7336,24.0554,43.80523,32.13937,19
15,FacetoFaceIntersect,True,58.40282,61.76995,0.863205,121.036,48.25245,51.03437,0.7131805,1
16,FacetoFaceIntersect,True,24.06707,78.10426,47.81797,149.9893,16.04586,52.07322,31.88092,21
15,SideBySide,True,31.16986,47.79926,7.362747,86.33186,36.1047,55.36687,8.528424,15
16,SideBySide,True,8.797775,11.86392,17.52907,38.19077,23.03639,31.0649,45.89871,10
15,FaceToFaceNoIntersect,True,64.77959,68.96042,0.5010986,134.2411,48.25615,51.37056,0.3732825,1
16,FaceToFaceNoIntersect,True,25.42721,23.93196,14.61891,63.97808,39.74363,37.4065,22.84987,9
15,CoupledView,True,21.59886,36.32062,0.5297699,58.44925,36.95319,62.14043,0.9063759,2
16,CoupledView,True,33.90811,24.49182,14.32971,72.72964,46.62213,33.67516,19.70271,10
15,Angled90,True,23.46669,21.42887,2.646118,47.54168,49.36024,45.07386,5.565891,4
