Id,Condition,Dominant,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
16,Angled90,True,5.808983,6.753799,11.16529,23.72807,24.48148,28.46333,47.05519,6
17,CoupledView,True,50.47025,46.09897,7.90741,104.4766,48.30769,44.12371,7.568592,6
18,CoupledView,True,46.60156,48.72656,22.60764,117.9358,39.51436,41.31619,19.16945,9
17,SideBySide,True,22.61273,41.46661,1.330902,65.41025,34.57063,63.39468,2.0347,5
18,SideBySide,True,5.581848,12.93274,12.25049,30.76508,18.14346,42.03708,39.81947,6
17,Angled90,True,28.8082,56.35887,0,85.16707,33.82551,66.17448,0,0
18,Angled90,True,6.852386,9.698578,9.635925,26.18689,26.16724,37.03601,36.79675,7
17,FacetoFaceIntersect,True,25.83667,16.64932,3.813797,46.29979,55.803,35.95982,8.23718,3
18,FacetoFaceIntersect,True,17.68642,32.52002,13.51971,63.72615,27.75378,51.03089,21.21533,8
17,FaceToFaceNoIntersect,True,30.03871,10.88622,2.727188,43.65211,68.81387,24.93857,6.247551,7
18,FaceToFaceNoIntersect,True,20.37206,15.71907,10.7188,46.80992,43.52081,33.58064,22.89856,8
