TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds,TimeInsideGazeBounds,TimeSecondzone,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageSecondZone,PercentageOutsideGazeBounds
TimeInsideGazeBoundsAngled90dominant,TimeSecondzoneAngled90dominant,TimeOutsideGazeBoundsAngled90dominant,TotalTimeAngled90dominant,PercentageInsideGazeBoundsAngled90dominant,PercentageSecondZoneAngled90dominant,PercentageOutsideGazeBoundsCoupledViewdominant,TimeInsideGazeBoundsCoupledViewdominant,TimeSecondzoneCoupledViewdominant,TimeOutsideGazeBoundsCoupledViewdominant,TotalTimeCoupledViewdominant,PercentageInsideGazeBoundsCoupledViewdominant,PercentageSecondZoneCoupledViewdominant,PercentageOutsideGazeBoundsFaceToFaceIntersectdominant,TimeInsideGazeBoundsFaceToFaceIntersectdominant,TimeSecondzoneFaceToFaceIntersectdominant,TimeOutsideGazeBoundsFaceToFaceIntersectdominant,TotalTimeFaceToFaceIntersectdominant,PercentageInsideGazeBoundsFaceToFaceIntersectdominant,PercentageSecondZoneFaceToFaceIntersectdominant,PercentageOutsideGazeBoundsFaceToFaceNoIntersectdominant,TimeInsideGazeBoundsFaceToFaceNoIntersectdominant,TimeSecondzoneFaceToFaceNoIntersectdominant,TimeOutsideGazeBoundsFaceToFaceNoIntersectdominant,TotalTimeFaceToFaceNoIntersectdominant,PercentageInsideGazeBoundsFaceToFaceNoIntersectdominant,PercentageSecondZoneFaceToFaceNoIntersectdominant,PercentageOutsideGazeBoundsSideBySidedominant,TimeInsideGazeBoundsSideBySidedominant,TimeSecondzoneSideBySidedominant,TimeOutsideGazeBoundsSideBySidedominant,TotalTimeSideBySidedominant,PercentageInsideGazeBoundsSideBySidedominant,PercentageSecondZoneSideBySidedominant,PercentageOutsideGazeBoundsdominant
178.4268,27.59723,6.779602,212.8036,83.84575,13.60872,3.185849,174.356,7.615479,0.3206787,182.2922,95.64646,5.039761,0.1759147,152.9578,18.45752,1.321716,172.737,88.54951,14.45693,0.7651611,109.465,17.47083,4.974823,131.9106,82.9842,12.31239,3.771358,69.35928,17.94678,0,87.30606,79.44383,12.40291,0
70.9726,13.26828,26.15955,110.4004,64.28653,6.610735,23.69515,153.2518,35.22096,0,188.4727,81.31244,25.91208,0,63.81372,17.7482,32.63083,114.1927,55.88246,8.593422,28.57522,0,0,0,0,,,,54.58719,25.21661,12.0986,91.9024,59.39691,13.26546,13.16462
152.9749,3.298615,0.2785034,156.552,97.71506,1.893747,0.1778983,185.9906,11.68112,7.01828,204.69,90.86452,8.621897,3.428735,148.4817,6.92691,0.6262817,156.0349,95.15929,3.972376,0.4013728,0,0,0,0,,,,114.8017,35.44373,0,150.2455,76.40945,18.76662,0
40.47974,5.953201,18.26331,64.69624,62.56891,6.456338,28.22931,23.01135,9.647705,1.518982,34.17804,67.32789,8.308572,4.444322,65.42838,10.98209,18.83316,95.24362,68.69581,6.030831,19.77367,91.16135,29.59497,47.75543,168.5117,54.09792,13.02508,28.33953,147.0593,10.37305,15.13239,172.5647,85.21979,7.063181,8.769107
77.49268,7.152267,1.030701,85.67564,90.4489,9.13583,1.203027,35.90704,0.4437256,0.7507935,37.10156,96.78041,0.3820444,2.023617,92.61337,6.388275,0,99.00165,93.5473,4.484641,0,223.8791,8.866669,0.9742432,233.72,95.78944,5.200179,0.416842,159.6415,9.298645,0.0970459,169.0372,94.44164,6.378225,0.05741097
51.13541,30.79501,33.98569,115.9161,44.11415,12.89714,29.31921,72.6853,24.20946,8.18454,105.0793,69.17186,1555.985,7.788918,54.64038,11.4566,28.16113,94.25812,57.96889,5.530853,29.87661,58.94229,10.83496,22.92657,92.70383,63.58129,10.81678,24.73099,89.58405,36.29605,17.79059,143.6707,62.35374,18.84668,12.38289
204.3846,0,0,204.3846,100,0,0,106.7403,0.9060211,0.9764862,108.6228,98.26693,58.22359,0.8989694,129.4581,0.6120911,0.1116028,130.1818,99.44409,0.3475094,0.08572841,89.67313,10.81833,4.858795,105.3503,85.11904,13.00459,4.61204,168.4562,27.08896,0,195.5452,86.14696,14.03728,0
106.9728,23.72238,14.08707,144.7822,73.8853,13.77254,9.729832,131.1844,40.73523,0.5563354,172.476,76.05952,17.03819,0.3225583,120.0575,19.71591,0.8880615,140.6614,85.35208,12.84294,0.6313468,60.79507,11.71426,32.36899,104.8783,57.96724,9.70507,30.86337,24.97241,13.37842,1.614624,39.96545,62.485,7.608557,4.040049
209.6506,4.88739,2.227356,216.7654,96.71777,2.714356,1.027542,179.1586,11.21936,0,190.3779,94.1068,4.697693,0,131.4613,1.711487,4.300507,137.4733,95.62679,1.121098,3.128249,125.2365,0.2640076,0,125.5005,99.78963,0.2529944,0,93.70901,3.142731,2.210083,99.06183,94.59649,1.793416,2.231014
110.0737,25.92667,10.38759,146.3879,75.19314,28.4576,7.095932,79.36771,16.35617,0.6119995,96.33588,82.38644,8.962186,0.6352769,96.77194,38.8699,6.778687,142.4205,67.94803,16.23424,4.759627,199.6688,19.47711,1.127808,220.2737,90.64577,8.126452,0.5120029,33.16556,17.19437,8.085266,58.44519,56.74643,11.63533,13.83393
