Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds
17,CoupledView,P2,True,72.16663,166.5718,238.7384,30.22833,69.77168
18,CoupledView,P2,True,105.3793,133.2509,238.6302,44.16009,55.83991
17,SideBySide,P2,True,19.43192,173.0879,192.5198,10.09346,89.90654
18,SideBySide,P2,True,80.07495,112.8506,192.9256,41.50562,58.49438
17,Angled90,P2,True,15.80084,115.5786,131.3794,12.02688,87.97312
18,Angled90,P2,True,47.85092,83.60406,131.455,36.40099,63.59901
17,FacetoFaceIntersect,P2,True,36.04691,127.6798,163.7267,22.01651,77.98349
18,FacetoFaceIntersect,P2,True,59.43314,104.5848,164.0179,36.23575,63.76425
17,FaceToFaceNoIntersect,P2,True,19.69392,91.83064,111.5246,17.65882,82.34118
18,FaceToFaceNoIntersect,P2,True,32.46555,78.72987,111.1954,29.19684,70.80316
