Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds,,,,,,,,,,,,,,,,,,,,,
22,Angled90,P2,TRUE,55.29739,49.09995,104.3973,52.9682,47.0318,,TimeInsideGazeBounds,Angled90,55.29739,,TimeOutsideGazeBounds,Angled90,49.09995,,TotalTime,Angled90,104.3973,,PercentageInsideGazeBounds,Angled90,52.9682,,PercentageOutsideGazeBounds,Angled90,47.0318
23,Angled90,P2,TRUE,81.70313,74.0235,155.7266,52.46574,47.53426,,TimeInsideGazeBounds,Angled90,81.70313,,TimeOutsideGazeBounds,Angled90,74.0235,,TotalTime,Angled90,155.7266,,PercentageInsideGazeBounds,Angled90,52.46574,,PercentageOutsideGazeBounds,Angled90,47.53426
24,Angled90,P2,TRUE,64.90866,90.97812,155.8868,41.63834,58.36166,,TimeInsideGazeBounds,Angled90,64.90866,,TimeOutsideGazeBounds,Angled90,90.97812,,TotalTime,Angled90,155.8868,,PercentageInsideGazeBounds,Angled90,41.63834,,PercentageOutsideGazeBounds,Angled90,58.36166
3,CoupledView,P2,TRUE,60.86237,80.36075,141.2231,43.0966,56.9034,,TimeInsideGazeBounds,CoupledView,60.86237,,TimeOutsideGazeBounds,CoupledView,80.36075,,TimeOutsideGazeBounds,CoupledView,141.2231,,TimeOutsideGazeBounds,CoupledView,43.0966,,TimeOutsideGazeBounds,CoupledView,56.9034
4,CoupledView,P2,TRUE,103.9963,37.54022,141.5366,73.47666,26.52334,,TimeInsideGazeBounds,CoupledView,103.9963,,TimeOutsideGazeBounds,CoupledView,37.54022,,TimeOutsideGazeBounds,CoupledView,141.5366,,TimeOutsideGazeBounds,CoupledView,73.47666,,TimeOutsideGazeBounds,CoupledView,26.52334
5,CoupledView,P2,TRUE,95.58551,133.463,229.0485,41.73157,58.26843,,TimeInsideGazeBounds,CoupledView,95.58551,,TimeOutsideGazeBounds,CoupledView,133.463,,TimeOutsideGazeBounds,CoupledView,229.0485,,TimeOutsideGazeBounds,CoupledView,41.73157,,TimeOutsideGazeBounds,CoupledView,58.26843
6,CoupledView,P2,TRUE,118.0255,110.3788,228.4044,51.67394,48.32606,,TimeInsideGazeBounds,CoupledView,118.0255,,TimeOutsideGazeBounds,CoupledView,110.3788,,TimeOutsideGazeBounds,CoupledView,228.4044,,TimeOutsideGazeBounds,CoupledView,51.67394,,TimeOutsideGazeBounds,CoupledView,48.32606
7,CoupledView,P2,TRUE,94.19708,115.8718,210.0689,44.84104,55.15896,,TimeInsideGazeBounds,CoupledView,94.19708,,TimeOutsideGazeBounds,CoupledView,115.8718,,TimeOutsideGazeBounds,CoupledView,210.0689,,TimeOutsideGazeBounds,CoupledView,44.84104,,TimeOutsideGazeBounds,CoupledView,55.15896
8,CoupledView,P2,TRUE,83.93629,126.1313,210.0676,39.9568,60.0432,,TimeInsideGazeBounds,CoupledView,83.93629,,TimeOutsideGazeBounds,CoupledView,126.1313,,TimeOutsideGazeBounds,CoupledView,210.0676,,TimeOutsideGazeBounds,CoupledView,39.9568,,TimeOutsideGazeBounds,CoupledView,60.0432
,,,,,,,,,,,CoupledView,,,TimeOutsideGazeBounds,CoupledView,,,TimeOutsideGazeBounds,CoupledView,,,TimeOutsideGazeBounds,CoupledView,,,TimeOutsideGazeBounds,CoupledView,
