User,taskID,condition,numberCollisionsDominant,timeCollisionsDominant,distanceDominant,numberCollisionsNotDominant,timeCollisionsNotDominant,distanceNotDominant,distance dominant,distanceNotDominant,averageDistanceDominant,averageDistanceNotDominant
3,2,SideBySide,5,5.205856,2.104197,9,152.7481,4.325983,4.3641772,0.725983,0.87283544,0.480664778
3,3,SideBySide,3,94.22651,1.582069,1,0.1952209,0.3704762,93.5936824,-0.0295238,31.19789413,0.3704762
3,2,FacetoFaceIntersect,3,1.154831,1.083877,15,165.9981,8.130583,0.7212802,2.130583,0.240426733,0.542038867
3,3,FacetoFaceIntersect,3,189.9639,1.947178,5,2.212799,2.271738,189.1850288,0.271738,63.06167627,0.4543476
0,2,FacetoFaceIntersect,0,0,0,0,0,0,0,0,0,0
0,3,FacetoFaceIntersect,0,0,0,0,0,0,0,0,0,0
4,2,FaceToFaceNoIntersect,4,1.447815,1.82396,35,41.13969,16.82471,0.718231,2.82471,0.17955775,0.480706
4,3,FaceToFaceNoIntersect,6,4.929291,2.450023,50,147.1289,21.33467,3.9492818,1.33467,0.658213633,0.4266934
4,2,FacetoFaceIntersect,1,0.4876404,0.4340396,27,70.32143,11.46548,0.31402456,0.66548,0.31402456,0.424647407
4,3,FacetoFaceIntersect,4,33.36737,1.629228,43,45.0029,17.58657,32.7156788,0.38657,8.1789197,0.40899
4,2,Angled90,1,0.1118164,0.3297434,24,81.6991,12.33452,-0.02008096,2.73452,-0.02008096,0.513938333
4,3,Angled90,7,3.009858,3.620318,10,7.876953,4.210214,1.5617308,0.210214,0.2231044,0.4210214
4,2,SideBySide,4,2.394593,1.531513,26,30.20068,12.39211,1.7819878,1.99211,0.44549695,0.476619615
4,3,SideBySide,6,3.173156,2.752145,8,3.368866,3.206347,2.072298,0.006347,0.345383,0.400793375
4,2,CoupledView,0,0,0,8,146.2326,3.96543,0,0.76543,0,0.49567875
4,3,CoupledView,10,165.4063,4.412161,2,0.3334961,0.7597792,163.6414356,-0.0402208,16.36414356,0.3798896
0,2,CoupledView,0,0,0,0,0,0,0,0,0,0
0,3,CoupledView,0,0,0,0,0,0,0,0,0,0
5,2,SideBySide,5,4.437897,2.329472,22,37.56357,10.75414,3.5061082,1.95414,0.70122164,0.488824545
5,3,SideBySide,18,45.45227,9.396662,65,90.52267,36.1789,41.6936052,10.1789,2.3163114,0.556598462
5,2,FacetoFaceIntersect,33,44.20299,15.29932,20,92.5098,16.15068,38.083262,8.15068,1.154038242,0.807534
5,3,FacetoFaceIntersect,1,4.66449,0.4116419,49,68.70435,25.60302,4.49983324,6.00302,4.49983324,0.522510612
5,2,FacetoFaceIntersect,0,0,0,0,0,0,0,0,0,0
5,3,FacetoFaceIntersect,0,0,0,0,0,0,0,0,0,0
5,2,CoupledView,9,112.1689,4.739779,14,106.2798,9.082455,110.2729884,3.482455,12.25255427,0.648746786
5,3,CoupledView,4,33.19616,2.66467,6,12.83722,3.173147,32.130292,0.773147,8.032573,0.528857833
5,2,CoupledView,0,0,0,0,0,0,0,0,0,0
5,3,CoupledView,1,1.224609,0.3984804,48,121.4117,23.34063,1.06521684,4.14063,1.06521684,0.486263125
5,2,FaceToFaceNoIntersect,14,19.93686,6.823836,45,110.1579,24.80982,17.2073256,6.80982,1.229094686,0.551329333
5,3,FaceToFaceNoIntersect,22,29.05826,12.6381,59,96.45462,32.10503,24.00302,8.50503,1.091046364,0.544153051
5,2,Angled90,14,9.896263,6.542943,16,20.52206,9.512142,7.2790858,3.112142,0.5199347,0.594508875
5,3,Angled90,7,8.784377,4.497481,40,75.59964,22.47443,6.9853846,6.47443,0.997912086,0.56186075
6,2,CoupledView,0,0,0,1,240.012,0.8474107,0,0.4474107,0,0.8474107
6,3,CoupledView,6,201.8803,3.019896,13,8.193236,5.125039,200.6723416,-0.074961,33.44539027,0.394233769
6,2,Angled90,6,10.67377,2.879238,20,299.714,8.19095,9.5220748,0.19095,1.587012467,0.4095475
6,3,Angled90,3,210.9282,1.431612,15,20.73166,7.679355,210.3555552,1.679355,70.1185184,0.511957
6,2,SideBySide,7,6.753891,3.230648,6,204.6648,2.503017,5.4616318,0.103017,0.780233114,0.4171695
6,3,SideBySide,3,211.3625,1.434919,5,3.660035,2.634859,210.7885324,0.634859,70.26284413,0.5269718
6,2,FaceToFaceNoIntersect,1,0.2221375,0.4379698,10,119.7694,5.047044,0.04694958,1.047044,0.04694958,0.5047044
6,3,FaceToFaceNoIntersect,1,132.6737,0.6592767,17,18.13864,6.685027,132.4099893,-0.114973,132.4099893,0.393236882
6,2,FacetoFaceIntersect,4,3.159393,1.999383,13,222.0645,5.381642,2.3596398,0.181642,0.58990995,0.413972462
6,3,FacetoFaceIntersect,2,131.7273,1.108005,9,10.5939,3.82552,131.284098,0.22552,65.642049,0.425057778
7,2,FaceToFaceNoIntersect,9,14.2135,3.915025,1,0.7515869,0.5383168,12.64749,0.1383168,1.405276667,0.5383168
7,3,FaceToFaceNoIntersect,2,3.049134,1.236044,21,20.23212,11.88076,2.5547164,3.48076,1.2773582,0.565750476
7,2,SideBySide,4,1.511612,1.55018,6,181.054,2.806647,0.89154,0.406647,0.222885,0.4677745
7,3,SideBySide,2,103.0333,1.119438,10,8.200593,4.570216,102.5855248,0.570216,51.2927624,0.4570216
7,2,Angled90,3,1.01532,1.303845,2,185.3096,1.221036,0.493782,0.421036,0.164594,0.610518
7,3,Angled90,20,358.2214,11.43437,21,24.71164,10.41108,353.647652,2.01108,17.6823826,0.495765714
7,2,FacetoFaceIntersect,1,0.2367554,0.4279545,1,154.1271,0.6895704,0.0655736,0.2895704,0.0655736,0.6895704
7,3,FacetoFaceIntersect,1,161.9802,0.6894937,15,20.10638,6.748257,161.7044025,0.748257,161.7044025,0.4498838
7,2,CoupledView,1,0.5601807,0.3911009,2,184.2796,1.753353,0.40374034,0.953353,0.40374034,0.8766765
7,3,CoupledView,1,112.0279,1.387928,0,0,0,111.4727288,0,111.4727288,0
8,2,FacetoFaceIntersect,1,240.0112,0.5609844,10,310.7109,5.883031,239.7868062,1.883031,239.7868062,0.5883031
8,3,FacetoFaceIntersect,5,196.2118,3.226848,3,176.4464,1.533681,194.9210608,0.333681,38.98421216,0.511227
8,2,SideBySide,5,151.1334,2.299919,13,155.2569,5.891984,150.2134324,0.691984,30.04268648,0.453229538
8,3,SideBySide,3,134.6908,1.422355,16,143.6162,7.739236,134.121858,1.339236,44.707286,0.48370225
8,2,FaceToFaceNoIntersect,2,179.9373,1.118318,24,213.0164,12.81791,179.4899728,3.21791,89.7449864,0.534079583
8,3,FaceToFaceNoIntersect,2,143.4498,1.094082,28,161.4799,12.27116,143.0121672,1.07116,71.5060836,0.438255714
8,2,CoupledView,1,125.403,0.6176685,16,173.4473,8.462694,125.1559326,2.062694,125.1559326,0.528918375
8,3,CoupledView,4,136.9865,1.993811,2,127.1059,1.114029,136.1889756,0.314029,34.0472439,0.5570145
8,2,Angled90,2,91.75677,1.00751,17,117.3575,9.617387,91.353766,2.817387,45.676883,0.565728647
8,3,Angled90,3,174.4113,1.601265,36,218.3114,19.10458,173.770794,4.70458,57.923598,0.530682778
9,2,CoupledView,1,240.0111,0.7137123,3,243.353,1.575273,239.7256151,0.375273,239.7256151,0.525091
9,3,CoupledView,1,240.0242,0.7055603,10,250.7729,4.846417,239.7419759,0.846417,239.7419759,0.4846417
9,2,SideBySide,1,96.46304,0.7689451,5,99.74817,2.501957,96.15546196,0.501957,96.15546196,0.5003914
9,3,SideBySide,1,193.9588,0.6884018,16,206.1677,6.97356,193.6834393,0.57356,193.6834393,0.4358475
9,2,Angled90,4,146.0653,2.209274,4,146.6359,2.195114,145.1815904,0.595114,36.2953976,0.5487785
9,3,Angled90,2,133.0367,0.9818119,11,160.9902,5.638438,132.6439752,1.238438,66.32198762,0.512585273
9,2,FacetoFaceIntersect,3,115.5905,1.520442,1,114.421,0.622178,114.9823232,0.222178,38.32744107,0.622178
9,3,FacetoFaceIntersect,1,164.7649,0.5804177,10,196.2398,4.83012,164.5327329,0.83012,164.5327329,0.483012
9,2,FaceToFaceNoIntersect,9,86.93993,4.281652,1,83.86183,0.7138183,85.2272692,0.3138183,9.469696578,0.7138183
9,3,FaceToFaceNoIntersect,1,112.2508,0.7138181,16,127.8294,6.834828,111.9652728,0.434828,111.9652728,0.42717675
