Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds
16,Angled90,P2,True,5.808983,85.30499,91.11398,6.375513,93.62449
17,CoupledView,P2,True,50.47025,187.4731,237.9434,21.21103,78.78897
18,CoupledView,P2,True,46.60156,192.1257,238.7273,19.52084,80.47916
17,SideBySide,P2,True,22.61273,72.76044,95.37317,23.70974,76.29026
18,SideBySide,P2,True,5.581848,90.28836,95.87021,5.822297,94.1777
17,Angled90,P2,True,28.8082,113.8232,142.6314,20.19766,79.80235
18,Angled90,P2,True,6.852386,137.1125,143.9649,4.759762,95.24024
17,FacetoFaceIntersect,P2,True,25.83667,87.79971,113.6364,22.73627,77.26373
18,FacetoFaceIntersect,P2,True,17.68642,95.92638,113.6128,15.56728,84.43272
17,FaceToFaceNoIntersect,P2,True,30.03871,52.97412,83.01283,36.18562,63.81438
18,FaceToFaceNoIntersect,P2,True,20.37206,62.72687,83.09892,24.51543,75.48457
