userId,collabType,currentTask,bPart,distance,timeElapsed
23,Angled90,0,rightHandP1,0.436,1.95195
23,Angled90,0,rightHandP1,0.4295908,0.3620071
24,Angled90,0,rightHandP2,0.5646353,1.573441
24,Angled90,0,HeadP2,0.5062301,0.1941833
24,Angled90,0,rightHandP2,0.5570003,1.461868
24,Angled90,0,rightHandP2,0.4926518,0.2514648
24,Angled90,0,HeadP2,0.5435738,2.994278
24,Angled90,0,rightHandP2,0.430191,6.54306
24,Angled90,0,rightHandP2,0.4030201,0.2930908
24,Angled90,0,rightHandP2,0.5696911,1.406067
23,Angled90,0,leftHandP1,0.5131774,0.2935791
23,Angled90,1,leftHandP1,0.5109431,0.8307037
23,Angled90,1,leftHandP1,0.4622633,0.3489227
23,Angled90,1,rightHandP1,0.502115,0.6822357
23,Angled90,1,rightHandP1,0.4859118,0.5294342
24,Angled90,2,rightHandP2,0.436415,0.6540527
24,Angled90,2,HeadP2,0.523188,14.77168
24,Angled90,2,HeadP2,0.5506712,2.659683
24,Angled90,2,rightHandP2,0.426929,1.294983
24,Angled90,2,HeadP2,0.5863686,3.313538
24,Angled90,2,rightHandP2,0.4426557,0.7108307
24,Angled90,2,HeadP2,0.5199013,1.406769
23,Angled90,2,HeadP1,0.4404204,9.578674
24,Angled90,2,rightHandP2,0.6073121,3.383163
24,Angled90,2,rightHandP2,0.4348847,0.6813507
24,Angled90,2,HeadP2,0.5169685,5.428726
24,Angled90,2,rightHandP2,0.5794342,1.850922
24,Angled90,2,rightHandP2,0.5804324,2.380844
24,Angled90,2,HeadP2,0.5135562,2.798294
24,Angled90,2,rightHandP2,0.411494,1.016968
24,Angled90,2,HeadP2,0.5336664,2.423401
23,Angled90,2,rightHandP1,0.522145,0.500824
23,Angled90,2,rightHandP1,0.5096166,0.02835083
23,Angled90,2,rightHandP1,0.5109352,0.05587769
23,Angled90,2,rightHandP1,0.5107557,0.08340454
23,Angled90,2,rightHandP1,0.5100089,0.0133667
23,Angled90,2,rightHandP1,0.5445136,0.25177
24,Angled90,2,rightHandP2,0.5068505,1.740326
24,Angled90,2,rightHandP2,0.4265443,1.461395
24,Angled90,2,HeadP2,0.5269177,3.787384
24,Angled90,2,rightHandP2,0.5143464,1.363556
24,Angled90,2,rightHandP2,0.4205095,0.5730896
24,Angled90,2,HeadP2,0.5102615,4.163605
24,Angled90,2,rightHandP2,0.5087953,1.391724
24,Angled90,2,rightHandP2,0.4155954,0.8770447
24,Angled90,2,HeadP2,0.5095564,2.450195
24,Angled90,2,HeadP2,0.5316361,2.533722
24,Angled90,2,rightHandP2,0.5317683,1.23877
24,Angled90,2,HeadP2,0.5017321,0.08395386
24,Angled90,2,HeadP2,0.5119722,1.990601
24,Angled90,2,rightHandP2,0.4117027,0.4866028
24,Angled90,2,rightHandP2,0.5163397,1.488861
24,Angled90,2,HeadP2,0.5182271,3.409729
24,Angled90,2,rightHandP2,0.5321789,1.001831
24,Angled90,2,HeadP2,0.5132465,6.027435
24,Angled90,2,HeadP2,0.5597876,2.43631
24,Angled90,2,HeadP2,0.5866929,0.974762
24,Angled90,2,rightHandP2,0.5182643,0.8077698
24,Angled90,2,HeadP2,0.5171034,4.273499
24,Angled90,2,rightHandP2,0.5012082,1.113434
24,Angled90,2,HeadP2,0.5284657,2.742188
24,Angled90,2,rightHandP2,0.4567808,2.603729
24,Angled90,2,rightHandP2,0.590856,1.420776
24,Angled90,2,HeadP2,0.5149753,26.56409
24,Angled90,3,HeadP2,0.5148494,1.764923
23,Angled90,3,rightHandP1,0.4815231,0.6260376
23,Angled90,3,leftHandP1,0.5168402,2.868347
24,Angled90,3,HeadP2,0.5173683,4.44165
23,Angled90,3,leftHandP1,0.4737922,1.113373
23,Angled90,3,leftHandP1,0.4703613,0.2785339
23,Angled90,3,rightHandP1,0.5073882,1.099518
23,Angled90,3,rightHandP1,0.5370457,0.2512512
23,Angled90,3,rightHandP1,0.4727587,0.4028015
23,Angled90,3,HeadP1,0.534485,2.477844
23,Angled90,3,rightHandP1,0.5466888,2.519867
23,Angled90,3,rightHandP1,0.4689124,0.4313049
24,Angled90,3,HeadP2,0.4448324,0.250946
23,Angled90,3,leftHandP1,0.5833786,1.169495
23,Angled90,3,leftHandP1,0.4397119,0.02835083
23,Angled90,3,leftHandP1,0.450006,0.5976868
23,Angled90,3,leftHandP1,0.4956181,1.208893
23,Angled90,3,leftHandP1,0.5307673,1.712311
23,Angled90,3,leftHandP1,0.4478357,0.09814453
24,Angled90,3,HeadP2,0.5049935,1.405548
23,Angled90,3,leftHandP1,0.4486372,3.98175
24,Angled90,3,HeadP2,0.5487912,3.049225
24,Angled90,3,leftHandP2,0.432087,1.001648
24,Angled90,3,leftHandP2,0.5045724,1.698853
24,Angled90,3,leftHandP2,0.3392581,1.169189
