UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
5,SideBySide,P1,0,p21,0.162,0.437,-0.223,p21_root,0.1502639,0.4426668,-0.2270966,p21_root,-0.01173609,0.005666792,-0.004096568,0.01366127,True
5,SideBySide,P1,0,p15,0.072,0.511,-0.133,p15_root,-0.369665,-0.4064655,0.2918624,p15_root,-0.441665,-0.9174656,0.4248624,1.103322,False
5,SideBySide,P1,0,p09,0.04063866,0.5112858,-0.19189,p09_root,0.06134121,0.5275354,-0.1875195,p09_root,0.02070255,0.01624966,0.004370496,0.02667861,True
5,SideBySide,P1,0,p05,0,-100,0,p05_root,0,-100,0,p05_root,0,0,0,0,True
5,SideBySide,P1,0,p17,0,-100,0,p17_root,0,-100,0,p17_root,0,0,0,0,True
5,SideBySide,P1,0,p22,0,-100,0,p22_root,0,-100,0,p22_root,0,0,0,0,True
5,SideBySide,P1,0,p18,0,-100,0,p18_root,0,-100,0,p18_root,0,0,0,0,True
5,SideBySide,P1,0,p01,0,-100,0,p01_root,0,-100,0,p01_root,0,0,0,0,True
5,SideBySide,P1,0,p11,0,-100,0,p11_root,0,-100,0,p11_root,0,0,0,0,True
5,SideBySide,P1,0,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
5,SideBySide,P1,0,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
5,SideBySide,P1,0,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
5,SideBySide,P2,1,p15,0.6619999,0.691,-0.04300001,p15_root,0.6660724,0.6981581,-0.07009068,p15_root,0.004072428,0.00715816,-0.02709067,0.02831481,True
5,SideBySide,P2,1,p16,0.572,0.691,-0.04300001,p16_root,0.5705127,0.7120879,-0.08748323,p16_root,-0.001487255,0.02108788,-0.04448321,0.04925106,True
5,SideBySide,P2,1,p13,0.572,0.511,-0.223,p13_root,0.5736451,0.5227696,-0.2251756,p13_root,0.001645088,0.01176953,-0.002175599,0.01208145,True
5,SideBySide,P2,1,p23,0,-100,0,p23_root,0,-100,0,p23_root,0,0,0,0,True
5,SideBySide,P2,1,p17,0,-100,0,p17_root,0,-100,0,p17_root,0,0,0,0,True
5,SideBySide,P2,1,p18,0,-100,0,p18_root,0,-100,0,p18_root,0,0,0,0,True
5,SideBySide,P2,1,p25,0,-100,0,p25_root,3.372694E-07,-99.99995,6.258488E-07,p25_root,3.372694E-07,5.340576E-05,6.258488E-07,5.341049E-05,True
5,SideBySide,P2,1,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
5,SideBySide,P2,1,p09,0,-100,0,p09_root,0,-100,0,p09_root,0,0,0,0,True
5,SideBySide,P2,1,p07,0,-100,0,p07_root,0,-100,0,p07_root,0,0,0,0,True
5,SideBySide,P2,1,p03,0,-100,0,p03_root,1.314635E-06,-99.99974,3.33786E-06,p03_root,1.314635E-06,0.0002593994,3.33786E-06,0.0002594242,True
5,SideBySide,P2,1,p04,0,-100,0,p04_root,1.83289E-07,-99.99966,3.546476E-06,p04_root,1.83289E-07,0.0003433228,3.546476E-06,0.0003433411,True
5,SideBySide,P1,2,p16,-0.108,0.511,-0.223,p16_root,-0.1076481,0.5110106,-0.2222095,p16_root,0.0003518984,1.055002E-05,0.0007905215,0.0008653716,True
5,SideBySide,P1,2,p24,-0.198,0.691,-0.223,p24_root,-0.1943272,0.6990309,-0.2198792,p24_root,0.003672779,0.008030891,0.003120854,0.009366123,True
5,SideBySide,P1,2,p03,0.162,0.511,-0.133,p03_root,0.1609316,0.5028373,-0.1268539,p03_root,-0.001068354,-0.008162737,0.006146148,0.0102736,True
5,SideBySide,P1,2,p17,-0.198,0.421,-0.04300001,p17_root,-0.2025023,0.4088365,-0.03526232,p17_root,-0.004502326,-0.01216343,0.007737696,0.01510271,True
5,SideBySide,P1,2,p23,-0.108,0.601,-0.223,p23_root,-0.1056226,0.6003557,-0.2151898,p23_root,0.002377391,-0.000644207,0.00781019,0.008189388,True
5,SideBySide,P1,2,p10,0.072,0.511,-0.04300001,p10_root,0.07723566,0.5160258,-0.04804313,p10_root,0.005235665,0.005025744,-0.005043119,0.00883761,True
5,SideBySide,P1,2,p05,-0.016,0.421,-0.133,p05_root,-0.02295914,0.4156356,-0.1343195,p05_root,-0.006959142,-0.005364358,-0.001319543,0.008885223,True
5,SideBySide,P1,2,p12,0.162,0.911,-0.133,p12_root,0.165182,0.9110396,-0.1265732,p12_root,0.003181979,3.957748E-05,0.006426781,0.007171477,True
5,SideBySide,P1,2,p18,-0.01800001,0.601,-0.04300001,p18_root,-0.0231493,0.6063567,-0.04499391,p18_root,-0.005149297,0.005356789,-0.001993895,0.007693248,True
5,SideBySide,P1,2,p06,0.072,0.601,-0.223,p06_root,0.07140606,0.5964899,-0.2124333,p06_root,-0.0005939379,-0.004510045,0.0105667,0.01150427,True
5,SideBySide,P1,2,p19,-0.108,0.421,-0.133,p19_root,-0.1099614,0.4306486,-0.134591,p19_root,-0.001961388,0.009648621,-0.001591012,0.009973678,True
5,SideBySide,P1,2,p09,-0.198,0.691,-0.04300001,p09_root,-0.2000951,0.6908042,-0.045921,p09_root,-0.002095118,-0.0001957417,-0.002920985,0.003599999,True
5,SideBySide,P2,3,p02,0.842,0.421,-0.04300001,p02_root,0.8349682,0.4530456,-0.04207453,p02_root,-0.007031798,0.03204566,0.0009254813,0.03282114,True
5,SideBySide,P2,3,p14,0.665,0.691,-0.133,p14_root,0.664521,0.6855066,-0.1210174,p14_root,-0.0004789829,-0.005493402,0.01198263,0.01319054,True
5,SideBySide,P2,3,p09,0.6619999,0.601,-0.133,p09_root,0.6552161,0.6165053,-0.1319434,p09_root,-0.006783843,0.01550531,0.001056552,0.01695735,True
5,SideBySide,P2,3,p23,0.842,0.513,-0.223,p23_root,0.8320789,0.5462447,-0.2284812,p23_root,-0.009921134,0.03324473,-0.005481213,0.03512385,True
5,SideBySide,P2,3,p12,0.392,0.511,-0.04300001,p12_root,0.3828571,0.5161003,-0.02962324,p12_root,-0.009142846,0.00510031,0.01337677,0.01698655,True
5,SideBySide,P2,3,p01,0.842,0.691,-0.04300001,p01_root,0.8295137,0.6967877,-0.0692457,p01_root,-0.01248634,0.00578773,-0.02624568,0.02963515,True
5,SideBySide,P2,3,p20,0.752,0.691,-0.04300001,p20_root,0.7555839,0.6962874,-0.04359585,p20_root,0.003583968,0.005287409,-0.0005958378,0.006415336,True
5,SideBySide,P2,3,p13,0.572,0.691,-0.223,p13_root,0.5721807,0.7043334,-0.2269519,p13_root,0.0001807213,0.01333344,-0.003951922,0.01390795,True
5,SideBySide,P2,3,p16,0.752,0.511,-0.223,p16_root,0.7602015,0.5436541,-0.2176219,p16_root,0.00820154,0.03265411,0.005378112,0.03409516,True
5,SideBySide,P2,3,p18,0.572,0.601,-0.04300001,p18_root,0.5682394,0.6040375,-0.03472668,p18_root,-0.003760576,0.003037572,0.008273333,0.00958211,True
5,SideBySide,P2,3,p19,0.482,0.601,-0.04300001,p19_root,0.4845119,0.5925881,-0.04292509,p19_root,0.002511889,-0.008411884,7.492304E-05,0.008779237,True
5,SideBySide,P2,3,p24,0.572,0.511,-0.223,p24_root,0.583143,0.530595,-0.2205403,p24_root,0.01114303,0.01959497,0.00245969,0.02267553,True
