userId,collabType,currentTask,bPart,distance,timeElapsed
22,CoupledView,0,rightHandP2,0.4117612,0.3331299
21,CoupledView,0,rightHandP1,0.5926164,1.141449
22,CoupledView,0,rightHandP2,0.4045139,0.432251
21,CoupledView,1,rightHandP1,0.4430452,2.784515
22,CoupledView,2,rightHandP2,0.5075012,2.102295
22,CoupledView,2,rightHandP2,0.3815427,0.1947937
22,CoupledView,2,rightHandP2,0.4346836,3.688751
21,CoupledView,2,leftHandP1,0.3761491,0.2786255
22,CoupledView,2,rightHandP2,0.4371673,0.4460449
21,CoupledView,3,rightHandP1,0.4314682,0.1540222
21,CoupledView,3,rightHandP1,0.4480149,0.6124573
21,CoupledView,3,rightHandP1,0.4013644,0.4590454
21,CoupledView,3,rightHandP1,0.4460555,3.132965
21,CoupledView,3,rightHandP1,0.3804739,0.05563354
21,CoupledView,3,rightHandP1,0.4007747,1.824188
21,CoupledView,3,rightHandP1,0.5099744,1.531464
21,CoupledView,3,rightHandP1,0.3933816,1.476685
21,CoupledView,3,rightHandP1,0.3878429,6.919098
