userId,collabType,currentTask,bPart,distance,timeElapsed
3,CoupledView,0,rightHandP1,0.4583601,2.618393
3,CoupledView,0,leftHandP1,0.8134288,86.2425
3,CoupledView,1,rightHandP1,0.4279756,1.211227
3,CoupledView,1,rightHandP1,0.4294159,0.9736328
3,CoupledView,1,rightHandP1,0.4902834,0.4464722
3,CoupledView,1,rightHandP1,0.4118187,0.08343506
3,CoupledView,1,leftHandP1,0.8473639,63.84114
4,CoupledView,2,rightHandP2,0.421592,0.2085876
4,CoupledView,2,rightHandP2,0.4278568,3.243927
4,CoupledView,2,rightHandP2,0.3477736,1.16925
3,CoupledView,2,rightHandP1,0.3414801,0.3053894
3,CoupledView,2,rightHandP1,0.3252226,0.2781982
4,CoupledView,2,rightHandP2,0.3795646,0.3069153
4,CoupledView,2,rightHandP2,0.4585623,0.7377625
3,CoupledView,2,rightHandP1,0.3075177,0.1256104
4,CoupledView,2,rightHandP2,0.437962,0.9468689
3,CoupledView,2,leftHandP1,0.9048566,240.0119
3,CoupledView,3,rightHandP1,0.4979204,6.292725
4,CoupledView,3,rightHandP2,0.5597132,0.5144043
3,CoupledView,3,leftHandP1,0.8623245,142.2803
