UserId,collaborationType,dominantPlayer,currentTask,NameBlueprintObj,blueprintPosX,blueprintPosY,blueprintPosZ,NameUserPlacedObj,UserPlacedPosX,UserPlacedPosY,UserPlacedPosZ,AbsoluteDistance,RelativeDistanceX,RelativeDistanceY,RelativeDistanceZ,correctObject
1,FacetoFaceIntersect,P1,0,p15,0.072,0.691,-0.04300001,p15_root,-0.9993738,0.6489981,-1.300439,p15_root,-1.071374,-0.04200184,-1.257439,1.652501,False
1,FacetoFaceIntersect,P1,0,p22,-0.01800001,0.691,-0.04300001,p22_root,1.116149,0.5709862,-0.5970923,p22_root,1.134149,-0.1200138,-0.5540923,1.267958,False
1,FacetoFaceIntersect,P1,0,p07,-0.01800001,0.511,-0.223,p07_root,-1.099015,0.5024481,-1.075238,p07_root,-1.081015,-0.008551955,-0.852238,1.376581,False
1,FacetoFaceIntersect,P1,0,p09,0,-100,0,p09_root,0,-100,0,p09_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p16,0,-100,0,p16_root,0,-100,0,p16_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p02,0,-100,0,p02_root,0,-100,0,p02_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p06,0,-100,0,p06_root,0,-100,0,p06_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p20,0,-100,0,p20_root,0,-100,0,p20_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p12,0,-100,0,p12_root,0,-100,0,p12_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p18,0,-100,0,p18_root,0,-100,0,p18_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,0,p10,0,-100,0,p10_root,0,-100,0,p10_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p17,0.108,0.511,-0.03100002,p17_root,0.8553626,0.6629771,1.002068,p17_root,0.7473626,0.1519771,1.033068,1.284086,False
1,FacetoFaceIntersect,P2,1,p04,0.198,0.691,-0.03100002,p04_root,-1.746401,0.5498624,0.4785671,p04_root,-1.944401,-0.1411375,0.5095671,2.015012,False
1,FacetoFaceIntersect,P2,1,p19,-0.266,0.511,-0.121,p19_root,0.8964617,0.7122953,0.7828522,p19_root,1.162462,0.2012953,0.9038522,1.486198,False
1,FacetoFaceIntersect,P2,1,p27,0,-100,0,p27_root,0,-100,0,p27_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p05,0,-100,0,p05_root,0,-100,0,p05_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p25,0,-100,0,p25_root,0,-100,0,p25_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p24,0,-100,0,p24_root,0,-100,0,p24_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p15,0,-100,0,p15_root,0,-100,0,p15_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p11,0,-100,0,p11_root,0,-100,0,p11_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p26,0,-100,0,p26_root,0,-100,0,p26_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p18,0,-100,0,p18_root,0,-100,0,p18_root,0,0,0,0,True
1,FacetoFaceIntersect,P2,1,p06,0,-100,0,p06_root,0,-100,0,p06_root,0,0,0,0,True
1,FacetoFaceIntersect,P1,2,p21,0.162,0.437,-0.223,p21_root,-0.7983553,0.6112311,-1.24308,p21_root,-0.9603553,0.1742311,-1.02008,1.411808,False
1,FacetoFaceIntersect,P1,2,p23,0.072,0.511,-0.133,p23_root,0.1354033,0.7079059,-1.757929,p23_root,0.06340329,0.1969059,-1.624929,1.638043,False
1,FacetoFaceIntersect,P1,2,p24,0.072,0.601,-0.223,p24_root,-1.416304,0.6438843,-1.258046,p24_root,-1.488304,0.04288435,-1.035046,1.813342,False
1,FacetoFaceIntersect,P1,2,p22,0.072,0.691,-0.04300001,p22_root,1.45461,0.6072403,-0.9385993,p22_root,1.38261,-0.08375967,-0.8955994,1.649462,False
1,FacetoFaceIntersect,P1,2,p26,0.162,0.601,-0.223,p26_root,0.2700036,0.568143,-1.214651,p26_root,0.1080036,-0.032857,-0.991651,0.9980562,False
1,FacetoFaceIntersect,P1,2,p12,0.252,0.511,-0.04300001,p12_root,-0.9558245,0.6282253,-1.233133,p12_root,-1.207824,0.1172253,-1.190133,1.699705,False
1,FacetoFaceIntersect,P1,2,p13,-0.01800001,0.691,-0.04300001,p13_root,1.420356,0.5017817,-0.569611,p13_root,1.438356,-0.1892183,-0.526611,1.54337,False
1,FacetoFaceIntersect,P1,2,p07,0.162,0.511,-0.133,p07_root,-0.8881723,0.5828389,-0.898525,p07_root,-1.050172,0.07183886,-0.765525,1.301557,False
1,FacetoFaceIntersect,P1,2,p14,0.252,0.601,-0.04300001,p14_root,0.7327667,0.5522782,-1.698898,p14_root,0.4807667,-0.04872173,-1.655898,1.724966,False
1,FacetoFaceIntersect,P1,2,p11,-0.108,0.421,-0.04300001,p11_root,0.2342061,0.6289668,-1.649308,p11_root,0.3422061,0.2079668,-1.606308,1.65547,False
1,FacetoFaceIntersect,P1,2,p04,-0.198,0.691,-0.133,p04_root,1.688395,0.5503512,-0.8708628,p04_root,1.886395,-0.1406488,-0.7378628,2.030445,False
1,FacetoFaceIntersect,P1,2,p09,0.162,0.911,-0.133,p09_root,1.229739,0.7049788,-0.3889028,p09_root,1.067739,-0.2060212,-0.2559028,1.117139,False
